molecule_id,gas_conformation,sol_conformation,num_atoms,atomic_numbers,gas_xyz,sol_xyz,dielectric_const,gas_energy,sol_energy,solvation_energy,gas_hlgap,sol_hlgap,gas_dipole,sol_dipole
1,Geom-m1-c1,Geom-m1-c1,5,"[6, 1, 1, 1, 1]","[1.029628, -0.016158, -0.094131, 2.110082, -0.016159, -0.094131, 0.669478, 0.675531, -0.841954, 0.669475, 0.285629, 0.8788, 0.669476, -1.009634, -0.319243]","[1.028535, -0.017735, -0.094025, 2.108308, -0.015161, -0.094303, 0.670782, 0.675016, -0.840456, 0.670598, 0.285882, 0.87721, 0.669916, -1.008792, -0.319086]",78.4,-1101.49444,-1101.504033,-0.0095929999999953,11.64793,11.635195,0.0,0.000432
2,Geom-m2-c1,Geom-m2-c1,5,"[8, 6, 8, 1, 1]","[0.928244, 0.014075, -0.062055, 2.131852, -0.021505, -0.089251, 2.837234, -0.943355, -0.794352, 2.802406, 0.709691, 0.470043, 3.792024, -0.829416, -0.707246]","[0.924498, 0.011099, -0.064446, 2.143487, -0.018575, -0.087031, 2.836008, -0.933182, -0.786422, 2.789411, 0.717207, 0.475831, 3.798355, -0.847059, -0.720791]",78.4,-5160.52395,-5160.953221,-0.42927099999997154,8.110568,8.223907,0.828905,1.160348
3,Geom-m3-c1,Geom-m3-c1,4,"[7, 1, 1, 1]","[0.951246, -0.069368, -0.042812, 1.961509, -0.073604, -0.04344, 0.61247, 0.520158, -0.79004, 0.612465, 0.276093, 0.844072]","[0.95315, -0.06155, -0.040542, 1.967163, -0.077869, -0.046548, 0.609611, 0.519284, -0.797076, 0.607766, 0.273414, 0.851947]",78.4,-1538.012258,-1538.162135,-0.14987700000006043,7.751049,8.000001,0.289814,0.339214
6,Geom-m6-c1,Geom-m6-c1,2,"[17, 1]","[1.083411, 0.06432, 0.04747, 2.366759, 0.06432, 0.04747]","[1.083327, 0.06432, 0.04747, 2.366843, 0.06432, 0.04747]",78.4,-12535.742808,-12535.855792,-0.11298399999941466,9.364386,10.050514,0.234215,0.325192
9,Geom-m9-c1,Geom-m9-c1,3,"[8, 1, 1]","[1.049995, -0.033219, -0.085649, 2.007074, -0.038915, -0.080473, 0.723712, 0.632794, -0.690656]","[1.058762, -0.02439, -0.093926, 2.02174, -0.05331, -0.067703, 0.700279, 0.638359, -0.69515]",78.4,-2078.589226,-2078.808282,-0.21905599999990955,9.056207,9.516183,0.376301,0.439337
10,Geom-m10-c1,Geom-m10-c1,5,"[17, 6, 17, 1, 1]","[0.914203, 0.027203, -0.042727, 2.699646, 0.020141, -0.054653, 3.307854, -0.836597, -1.498287, 3.05345, -0.482543, 0.825492, 3.053438, 1.033536, -0.074245]","[0.910839, 0.025931, -0.04429, 2.702726, 0.023373, -0.05006, 3.3073, -0.838549, -1.501259, 3.053661, -0.485182, 0.826696, 3.054064, 1.036167, -0.075507]",78.4,-26107.361307,-26107.490566,-0.12925900000118418,8.321599,8.467158,0.35969,0.50742
11,Geom-m11-c1,Geom-m11-c1,7,"[6, 6, 8, 17, 1, 1, 1]","[1.102585, -0.060148, -0.007864, 2.585029, -0.050813, -0.084871, 3.29337, 0.063249, -1.025441, 3.413635, -0.246971, 1.532584, 0.654703, 0.059222, -0.99172, 0.760982, 0.744531, 0.640649, 0.760975, -0.996562, 0.429403]","[1.098536, -0.061151, -0.007983, 2.574119, -0.050921, -0.083889, 3.295787, 0.061405, -1.021715, 3.423539, -0.245427, 1.531116, 0.66015, 0.061222, -0.995517, 0.760551, 0.744336, 0.641128, 0.758599, -0.996954, 0.4296]",78.4,-16686.721028,-16686.89888,-0.177852000000712,7.365365,7.466532,0.633872,0.829403
12,Geom-m12-c1,Geom-m12-c1,10,"[6, 6, 6, 8, 17, 1, 1, 1, 1, 1]","[0.936255, -0.100981, 0.025059, 2.453991, -0.071658, -0.074872, 2.941742, 0.318759, -1.430313, 2.340511, 0.60009, -2.40806, 4.770844, 0.358064, -1.564879, 0.625465, -0.38924, 1.025936, 0.51784, -0.812311, -0.682327, 0.517213, 0.877301, -0.195904, 2.881572, -1.049732, 0.168961, 2.880968, 0.627307, 0.651799]","[0.931933, -0.100573, 0.023713, 2.455495, -0.071424, -0.071214, 2.936829, 0.316247, -1.421464, 2.345079, 0.603754, -2.40873, 4.775257, 0.357124, -1.575803, 0.627419, -0.39173, 1.02419, 0.51841, -0.812464, -0.684063, 0.516852, 0.877517, -0.194848, 2.880991, -1.049291, 0.170198, 2.878135, 0.628439, 0.653422]",78.4,-17755.711489,-17755.879133,-0.1676439999973809,7.391705,7.497308,0.667545,0.871882
12,Geom-m12-c2,Geom-m12-c2,10,"[6, 6, 6, 8, 17, 1, 1, 1, 1, 1]","[-1.070069, -0.362954, -0.307654, -0.000798, 0.634167, 0.124372, 1.286392, -0.030435, 0.494086, 1.838848, -0.065048, 1.539431, 2.126007, -0.893322, -0.884015, -0.741052, -0.936881, -1.170783, -1.984813, 0.159526, -0.576381, -1.29922, -1.058476, 0.496282, -0.354199, 1.219625, 0.978059, 0.198903, 1.333701, -0.6934]","[-1.070532, -0.363707, -0.319678, -0.003451, 0.635584, 0.132928, 1.282076, -0.022409, 0.49276, 1.874749, -0.013965, 1.523639, 2.100432, -0.958447, -0.854923, -0.74141, -0.91032, -1.199332, -1.984749, 0.165479, -0.569717, -1.289853, -1.076686, 0.468566, -0.359629, 1.19774, 0.998516, 0.192368, 1.346631, -0.67276]",78.4,-17755.667924,-17755.825024,-0.15710000000035507,7.248816,7.318453,0.66897,0.863072
12,Geom-m12-c3,Geom-m12-c3,10,"[6, 6, 6, 8, 17, 1, 1, 1, 1, 1]","[-1.100479, 0.365492, 0.163667, 0.009059, -0.562022, -0.318907, 1.353986, -0.164283, 0.198992, 2.083708, -0.753194, 0.919991, 1.95225, 1.460845, -0.392382, -1.169947, 0.35521, 1.248859, -2.058277, 0.048521, -0.241436, -0.918797, 1.388916, -0.156068, -0.198517, -1.590613, -0.010123, 0.047017, -0.548874, -1.412693]","[-1.102703, 0.377795, 0.148947, 0.007581, -0.570233, -0.309421, 1.350213, -0.173011, 0.195087, 2.123102, -0.789095, 0.856251, 1.925902, 1.495823, -0.301507, -1.159408, 0.408342, 1.233483, -2.058418, 0.033425, -0.233535, -0.929767, 1.385026, -0.216942, -0.202352, -1.58712, 0.028595, 0.045853, -0.580955, -1.401058]",78.4,-17755.667825,-17755.824412,-0.1565870000013092,7.248801,7.319246,0.668961,0.86324
